UNIQUE_STATION,IN_BK
59 ST NQR456W,FALSE
5 AV/59 ST NQRW,FALSE
57 ST-7 AV NQRW,FALSE
49 ST NQRW,FALSE
TIMES SQ-42 ST ACENQRS1237W,FALSE
34 ST-HERALD SQ BDFMNQRW,FALSE
28 ST NRW,FALSE
23 ST NRW,FALSE
14 ST-UNION SQ LNQR456W,FALSE
8 ST-NYU NRW,FALSE
PRINCE ST NRW,FALSE
CANAL ST JNQRZ6W,FALSE
CITY HALL NRW,FALSE
CORTLANDT ST RNW,FALSE
RECTOR ST NRW,FALSE
WHITEHALL S-FRY R1W,FALSE
DELANCEY/ESSEX FJMZ,FALSE
BOWERY JZ,FALSE
CHAMBERS ST JZ456,FALSE
FULTON ST ACJZ2345,FALSE
BROAD ST JZ,FALSE
7 AV BQ,TRUE
PARK PLACE S,TRUE
BOTANIC GARDEN S2345,TRUE
PROSPECT PARK BQS,TRUE
PARKSIDE AV BQ,TRUE
CHURCH AV BQ,TRUE
BEVERLEY ROAD BQ,TRUE
CORTELYOU RD BQ,TRUE
NEWKIRK PLAZA BQ,TRUE
AVENUE H BQ,TRUE
AVENUE J BQ,TRUE
AVENUE M BQ,TRUE
KINGS HWY BQ,TRUE
AVENUE U BQ,TRUE
NECK RD BQ,TRUE
SHEEPSHEAD BAY BQ,TRUE
BRIGHTON BEACH BQ,TRUE
OCEAN PKWY Q,TRUE
BOROUGH HALL R2345,TRUE
JAY ST-METROTEC R,TRUE
DEKALB AV BDNQR,TRUE
ATL AV-BARCLAY BDNQR2345,TRUE
UNION ST R,TRUE
4AV-9 ST DFGMNR,TRUE
PROSPECT AV R,TRUE
25 ST R,TRUE
36 ST DNR,TRUE
45 ST R,TRUE
53 ST R,TRUE
59 ST NRW,TRUE
BAY RIDGE AV R,TRUE
77 ST R,TRUE
86 ST R,TRUE
BAY RIDGE-95 ST R,TRUE
8 AV N,TRUE
FT HAMILTON PKY N,TRUE
NEW UTRECHT AV ND,TRUE
18 AV N,TRUE
20 AV N,TRUE
BAY PKWY N,TRUE
KINGS HWY N,TRUE
AVENUE U N,TRUE
86 ST N,TRUE
9 AV D,TRUE
FT HAMILTON PKY D,TRUE
50 ST D,TRUE
55 ST D,TRUE
71 ST D,TRUE
79 ST D,TRUE
18 AV D,TRUE
20 AV D,TRUE
BAY PKWY D,TRUE
25 AV D,TRUE
BAY 50 ST D,TRUE
CONEY IS-STILLW DFNQ,TRUE
W 8 ST-AQUARIUM FQ,TRUE
8 AV ACEL,FALSE
6 AV FLM123,FALSE
3 AV L,FALSE
1 AV L,FALSE
BEDFORD AV L,TRUE
LORIMER ST LG,TRUE
GRAHAM AV L,TRUE
GRAND ST L,TRUE
MONTROSE AV L,TRUE
MORGAN AV L,TRUE
JEFFERSON ST L,TRUE
DEKALB AV L,TRUE
MYRTLE-WYCKOFF LM,TRUE
HALSEY ST L,TRUE
WILSON AV L,TRUE
BUSHWICK AV L,TRUE
ATLANTIC AV L,TRUE
SUTTER AV L,TRUE
LIVONIA AV L,TRUE
NEW LOTS L,TRUE
EAST 105 ST L,TRUE
CANARSIE-ROCKAW L,TRUE
MARCY AV JMZ,TRUE
HEWES ST JM,TRUE
LORIMER ST JM,TRUE
FLUSHING AV JM,TRUE
MYRTLE AV JMZ,TRUE
KOSCIUSZKO ST J,TRUE
GATES AV JZ,TRUE
HALSEY ST J,TRUE
CHAUNCEY ST JZ,TRUE
ALABAMA AV J,TRUE
VAN SICLEN AV JZ,TRUE
CLEVELAND ST J,TRUE
NORWOOD AV JZ,TRUE
CRESCENT ST JZ,TRUE
CYPRESS HILLS J,TRUE
75 ST-ELDERTS JZ,FALSE
85 ST-FOREST PK J,FALSE
WOODHAVEN BLVD JZ,FALSE
104 ST JZ,FALSE
111 ST J,FALSE
121 ST JZ,FALSE
HOWARD BCH JFK A,FALSE
JFK JAMAICA CT1 E,FALSE
CENTRAL AV M,TRUE
KNICKERBOCKER M,TRUE
SENECA AVE M,FALSE
FOREST AVE M,FALSE
FRESH POND RD M,FALSE
METROPOLITAN AV M,FALSE
INWOOD-207 ST A,FALSE
DYCKMAN ST A,FALSE
190 ST A,FALSE
181 ST A,FALSE
175 ST A,FALSE
168 ST AC1,FALSE
163 ST-AMSTERDM C,FALSE
155 ST C,FALSE
145 ST ABCD,FALSE
135 ST BC,FALSE
125 ST ACBD,FALSE
116 ST BC,FALSE
CATHEDRAL PKWY BC,FALSE
103 ST BC,FALSE
96 ST BC,FALSE
86 ST BC,FALSE
81 ST-MUSEUM BC,FALSE
72 ST BC,FALSE
59 ST COLUMBUS ABCD1,FALSE
50 ST CE,FALSE
42 ST-PORT AUTH ACENGRS1237W,FALSE
42 ST-PORT AUTH ACENQRS1237W,FALSE
34 ST-PENN STA ACE,FALSE
23 ST CE,FALSE
14 ST ACEL,FALSE
W 4 ST-WASH SQ ABCDEFM,FALSE
SPRING ST CE,FALSE
CANAL ST ACE,FALSE
CHAMBERS ST ACE23,FALSE
WORLD TRADE CTR ACE23,FALSE
FULTON ST 2345ACJZ,FALSE
HIGH ST AC,TRUE
JAY ST-METROTEC ACF,TRUE
HOYT-SCHER ACG,TRUE
LAFAYETTE AV C,TRUE
