59 ST NQR456W
5 AV/59 ST NQRW
57 ST-7 AV NQRW
49 ST NQRW
TIMES SQ-42 ST ACENQRS1237W
34 ST-HERALD SQ BDFMNQRW
28 ST NRW
23 ST NRW
14 ST-UNION SQ LNQR456W
8 ST-NYU NRW
PRINCE ST NRW
CANAL ST JNQRZ6W
CITY HALL NRW
CORTLANDT ST RNW
RECTOR ST NRW
WHITEHALL S-FRY R1W
DELANCEY/ESSEX FJMZ
BOWERY JZ
CHAMBERS ST JZ456
FULTON ST ACJZ2345
BROAD ST JZ
7 AV BQ
PARK PLACE S
BOTANIC GARDEN S2345
PROSPECT PARK BQS
PARKSIDE AV BQ
CHURCH AV BQ
BEVERLEY ROAD BQ
CORTELYOU RD BQ
NEWKIRK PLAZA BQ
AVENUE H BQ
AVENUE J BQ
AVENUE M BQ
KINGS HWY BQ
AVENUE U BQ
NECK RD BQ
SHEEPSHEAD BAY BQ
BRIGHTON BEACH BQ
OCEAN PKWY Q
BOROUGH HALL R2345
JAY ST-METROTEC R
DEKALB AV BDNQR
ATL AV-BARCLAY BDNQR2345
UNION ST R
4AV-9 ST DFGMNR
PROSPECT AV R
25 ST R
36 ST DNR
45 ST R
53 ST R
59 ST NRW
BAY RIDGE AV R
77 ST R
86 ST R
BAY RIDGE-95 ST R
8 AV N
FT HAMILTON PKY N
NEW UTRECHT AV ND
18 AV N
20 AV N
BAY PKWY N
KINGS HWY N
AVENUE U N
86 ST N
9 AV D
FT HAMILTON PKY D
50 ST D
55 ST D
71 ST D
79 ST D
18 AV D
20 AV D
BAY PKWY D
25 AV D
BAY 50 ST D
CONEY IS-STILLW DFNQ
W 8 ST-AQUARIUM FQ
8 AV ACEL
6 AV FLM123
3 AV L
1 AV L
BEDFORD AV L
LORIMER ST LG
GRAHAM AV L
GRAND ST L
MONTROSE AV L
MORGAN AV L
JEFFERSON ST L
DEKALB AV L
MYRTLE-WYCKOFF LM
HALSEY ST L
WILSON AV L
BUSHWICK AV L
ATLANTIC AV L
SUTTER AV L
LIVONIA AV L
NEW LOTS L
EAST 105 ST L
CANARSIE-ROCKAW L
MARCY AV JMZ
HEWES ST JM
LORIMER ST JM
FLUSHING AV JM
MYRTLE AV JMZ
KOSCIUSZKO ST J
GATES AV JZ
HALSEY ST J
CHAUNCEY ST JZ
ALABAMA AV J
VAN SICLEN AV JZ
CLEVELAND ST J
NORWOOD AV JZ
CRESCENT ST JZ
CYPRESS HILLS J
75 ST-ELDERTS JZ
85 ST-FOREST PK J
WOODHAVEN BLVD JZ
104 ST JZ
111 ST J
121 ST JZ
HOWARD BCH JFK A
JFK JAMAICA CT1 E
CENTRAL AV M
KNICKERBOCKER M
SENECA AVE M
FOREST AVE M
FRESH POND RD M
METROPOLITAN AV M
INWOOD-207 ST A
DYCKMAN ST A
190 ST A
181 ST A
175 ST A
168 ST AC1
163 ST-AMSTERDM C
155 ST C
145 ST ABCD
135 ST BC
125 ST ACBD
116 ST BC
CATHEDRAL PKWY BC
103 ST BC
96 ST BC
86 ST BC
81 ST-MUSEUM BC
72 ST BC
59 ST COLUMBUS ABCD1
50 ST CE
42 ST-PORT AUTH ACENGRS1237W
42 ST-PORT AUTH ACENQRS1237W
34 ST-PENN STA ACE
23 ST CE
14 ST ACEL
W 4 ST-WASH SQ ABCDEFM
SPRING ST CE
CANAL ST ACE
CHAMBERS ST ACE23
WORLD TRADE CTR ACE23
FULTON ST 2345ACJZ
HIGH ST AC
JAY ST-METROTEC ACF
HOYT-SCHER ACG
LAFAYETTE AV C
CLINTON-WASH AV C
FRANKLIN AV ACS
NOSTRAND AV AC
KINGSTON-THROOP C
UTICA AV AC
RALPH AV C
ROCKAWAY AV C
BROADWAY JCT ACJLZ
LIBERTY AV C
VAN SICLEN AVE C
SHEPHERD AV C
EUCLID AV AC
GRANT AV A
80 ST A
88 ST A
